job_id,operation_id,machine,start_time,duration,plan_duration,end_time
p41,1,a1_0,2784.0,15.0,15.0,2799.0
p41,2,a4_0,2358.0,45.0,45.0,2403.0
p41,3,a3_0,2799.0,18.0,18.0,2817.0
p41,4,a2_0,3477.0,30.0,30.0,3507.0
p41,5,a4_0,4617.0,15.0,15.0,4632.0
p42,1,a1_0,2799.0,18.0,15.0,2817.0
p42,2,a4_0,2403.0,45.0,54.0,2448.0
p42,3,a3_0,2817.0,15.0,18.0,2832.0
p42,4,a2_0,3555.0,30.0,36.0,3585.0
p42,5,a4_0,4632.0,18.0,18.0,4650.0
p43,1,a1_0,2835.0,15.0,18.0,2850.0
p43,2,a4_0,2457.0,54.0,54.0,2511.0
p43,3,a3_0,2871.0,15.0,15.0,2886.0
p43,4,a2_0,3591.0,30.0,36.0,3621.0
p43,5,a4_0,4650.0,15.0,18.0,4665.0
p44,1,a1_0,2850.0,30.0,30.0,2880.0
p44,2,a2_0,3627.0,45.0,54.0,3672.0
p44,3,a1_0,2880.0,15.0,18.0,2895.0
p44,4,a3_0,3681.0,15.0,18.0,3696.0
p45,1,a1_0,2895.0,30.0,30.0,2925.0
p45,2,a2_0,3681.0,45.0,54.0,3726.0
p45,3,a1_0,2925.0,18.0,18.0,2943.0
p45,4,a3_0,3735.0,15.0,18.0,3750.0
p46,1,a1_0,2943.0,30.0,30.0,2973.0
p46,2,a2_0,3735.0,45.0,54.0,3780.0
p46,3,a1_0,2973.0,18.0,18.0,2991.0
p46,4,a3_0,3789.0,15.0,18.0,3804.0
p47,1,a1_0,2991.0,36.0,30.0,3027.0
p47,2,a2_0,3789.0,45.0,45.0,3834.0
p47,3,a1_0,3027.0,15.0,18.0,3042.0
p47,4,a3_0,3879.0,15.0,18.0,3894.0
p48,1,a1_0,3042.0,30.0,36.0,3072.0
p48,2,a2_0,3834.0,54.0,54.0,3888.0
p48,3,a1_0,3072.0,15.0,18.0,3087.0
p48,4,a3_0,3930.0,18.0,18.0,3948.0
p49,1,a1_0,3087.0,36.0,36.0,3123.0
p49,2,a2_0,3888.0,45.0,54.0,3933.0
p49,3,a1_0,3123.0,18.0,18.0,3141.0
p49,4,a3_0,3948.0,18.0,18.0,3966.0
p50,1,a1_0,3141.0,36.0,36.0,3177.0
p50,2,a2_0,3942.0,45.0,45.0,3987.0
p50,3,a1_0,3177.0,15.0,18.0,3192.0
p50,4,a3_0,3987.0,18.0,15.0,4005.0
p51,1,a1_0,3228.0,18.0,15.0,3246.0
p51,2,a4_0,2511.0,54.0,45.0,2565.0
p51,3,a3_0,3246.0,15.0,18.0,3261.0
p51,4,a2_0,3987.0,30.0,36.0,4017.0
p51,5,a4_0,4668.0,18.0,18.0,4686.0
p52,1,a1_0,3246.0,30.0,36.0,3276.0
p52,2,a2_0,4077.0,45.0,54.0,4122.0
p52,3,a1_0,3276.0,18.0,18.0,3294.0
p52,4,a3_0,4122.0,15.0,18.0,4137.0
p53,1,a1_0,3312.0,30.0,36.0,3342.0
p53,2,a2_0,4122.0,45.0,45.0,4167.0
p53,3,a1_0,3342.0,15.0,18.0,3357.0
p53,4,a3_0,4182.0,18.0,15.0,4200.0
p54,1,a1_0,3360.0,30.0,36.0,3390.0
p54,2,a2_0,4167.0,54.0,54.0,4221.0
p54,3,a1_0,3396.0,15.0,18.0,3411.0
p54,4,a3_0,4221.0,15.0,15.0,4236.0
p55,1,a1_0,3414.0,30.0,36.0,3444.0
p55,2,a2_0,4221.0,54.0,45.0,4275.0
p55,3,a1_0,3450.0,18.0,18.0,3468.0
p55,4,a3_0,4275.0,15.0,18.0,4290.0
p56,1,a1_0,3468.0,18.0,15.0,3486.0
p56,2,a4_0,2565.0,45.0,54.0,2610.0
p56,3,a3_0,3486.0,18.0,15.0,3504.0
p56,4,a2_0,4275.0,30.0,30.0,4305.0
p56,5,a4_0,4686.0,15.0,18.0,4701.0
p57,1,a1_0,3486.0,15.0,18.0,3501.0
p57,2,a4_0,2610.0,45.0,54.0,2655.0
p57,3,a3_0,3504.0,18.0,15.0,3522.0
p57,4,a2_0,4305.0,30.0,30.0,4335.0
p57,5,a4_0,4704.0,15.0,18.0,4719.0
p58,1,a1_0,3501.0,15.0,18.0,3516.0
p58,2,a4_0,2664.0,54.0,54.0,2718.0
p58,3,a3_0,3573.0,18.0,15.0,3591.0
p58,4,a2_0,4335.0,30.0,30.0,4365.0
p58,5,a4_0,4722.0,15.0,18.0,4737.0
p59,1,a1_0,3519.0,30.0,36.0,3549.0
p59,2,a2_0,4365.0,54.0,45.0,4419.0
p59,3,a1_0,3555.0,18.0,15.0,3573.0
p59,4,a3_0,4419.0,18.0,18.0,4437.0
p60,1,a1_0,3573.0,15.0,15.0,3588.0
p60,2,a4_0,2718.0,45.0,54.0,2763.0
p60,3,a3_0,3591.0,15.0,18.0,3606.0
p60,4,a2_0,4419.0,30.0,36.0,4449.0
p60,5,a4_0,4740.0,18.0,18.0,4758.0
p61,1,a1_0,3624.0,36.0,30.0,3660.0
p61,2,a2_0,4449.0,45.0,45.0,4494.0
p61,3,a1_0,3660.0,18.0,15.0,3678.0
p61,4,a3_0,4494.0,18.0,18.0,4512.0
p62,1,a1_0,3678.0,36.0,36.0,3714.0
p62,2,a2_0,4548.0,45.0,45.0,4593.0
p62,3,a1_0,3714.0,18.0,18.0,3732.0
p62,4,a3_0,4593.0,18.0,18.0,4611.0
p63,1,a1_0,3747.0,15.0,18.0,3762.0
p63,2,a4_0,2772.0,54.0,54.0,2826.0
p63,3,a3_0,3807.0,15.0,18.0,3822.0
p63,4,a2_0,4593.0,36.0,36.0,4629.0
p63,5,a4_0,4758.0,15.0,18.0,4773.0
p64,1,a1_0,3762.0,15.0,15.0,3777.0
p64,2,a4_0,2826.0,54.0,54.0,2880.0
p64,3,a3_0,3825.0,18.0,15.0,3843.0
p64,4,a2_0,4629.0,36.0,30.0,4665.0
p64,5,a4_0,4776.0,18.0,18.0,4794.0
p65,1,a1_0,3777.0,18.0,15.0,3795.0
p65,2,a4_0,2880.0,54.0,45.0,2934.0
p65,3,a3_0,3843.0,18.0,18.0,3861.0
p65,4,a2_0,4665.0,30.0,30.0,4695.0
p65,5,a4_0,4794.0,15.0,18.0,4809.0
p66,1,a1_0,3795.0,18.0,18.0,3813.0
p66,2,a4_0,2934.0,45.0,45.0,2979.0
p66,3,a3_0,3861.0,18.0,18.0,3879.0
p66,4,a2_0,4695.0,30.0,30.0,4725.0
p66,5,a4_0,4812.0,15.0,18.0,4827.0
p67,1,a1_0,3813.0,18.0,15.0,3831.0
p67,2,a4_0,2979.0,45.0,45.0,3024.0
p67,3,a3_0,3894.0,15.0,18.0,3909.0
p67,4,a2_0,4725.0,30.0,36.0,4755.0
p67,5,a4_0,4830.0,15.0,18.0,4845.0
p68,1,a1_0,3831.0,18.0,15.0,3849.0
p68,2,a4_0,3024.0,45.0,54.0,3069.0
p68,3,a3_0,3912.0,15.0,18.0,3927.0
p68,4,a2_0,4755.0,36.0,30.0,4791.0
p68,5,a4_0,4848.0,15.0,15.0,4863.0
p69,1,a1_0,3849.0,30.0,30.0,3879.0
p69,2,a2_0,4791.0,45.0,54.0,4836.0
p69,3,a1_0,3879.0,18.0,18.0,3897.0
p69,4,a3_0,4836.0,15.0,15.0,4851.0
p70,1,a1_0,3897.0,36.0,36.0,3933.0
p70,2,a2_0,4836.0,54.0,54.0,4890.0
p70,3,a1_0,3933.0,18.0,18.0,3951.0
p70,4,a3_0,4890.0,15.0,18.0,4905.0
p71,1,a1_0,3969.0,36.0,30.0,4005.0
p71,2,a2_0,4890.0,45.0,54.0,4935.0
p71,3,a1_0,4005.0,18.0,15.0,4023.0
p71,4,a3_0,4935.0,15.0,18.0,4950.0
p72,1,a1_0,4023.0,36.0,30.0,4059.0
p72,2,a2_0,4935.0,45.0,54.0,4980.0
p72,3,a1_0,4059.0,18.0,15.0,4077.0
p72,4,a3_0,4989.0,18.0,18.0,5007.0
p73,1,a1_0,4077.0,36.0,36.0,4113.0
p73,2,a2_0,4989.0,54.0,54.0,5043.0
p73,3,a1_0,4113.0,15.0,15.0,4128.0
p73,4,a3_0,5043.0,18.0,18.0,5061.0
p74,1,a1_0,4128.0,18.0,15.0,4146.0
p74,2,a4_0,3123.0,54.0,54.0,3177.0
p74,3,a3_0,4146.0,18.0,18.0,4164.0
p74,4,a2_0,5079.0,30.0,36.0,5109.0
p74,5,a4_0,5115.0,18.0,18.0,5133.0
p75,1,a1_0,4146.0,18.0,15.0,4164.0
p75,2,a4_0,3177.0,54.0,54.0,3231.0
p75,3,a3_0,4164.0,18.0,18.0,4182.0
p75,4,a2_0,5115.0,30.0,36.0,5145.0
p75,5,a4_0,5151.0,15.0,15.0,5166.0
p76,1,a1_0,4164.0,30.0,30.0,4194.0
p76,2,a2_0,5151.0,54.0,54.0,5205.0
p76,3,a1_0,4194.0,18.0,18.0,4212.0
p76,4,a3_0,5205.0,18.0,15.0,5223.0
p77,1,a1_0,4212.0,18.0,18.0,4230.0
p77,2,a4_0,3231.0,45.0,45.0,3276.0
p77,3,a3_0,4236.0,18.0,15.0,4254.0
p77,4,a2_0,5205.0,30.0,36.0,5235.0
p77,5,a4_0,5241.0,15.0,15.0,5256.0
p78,1,a1_0,4230.0,36.0,30.0,4266.0
p78,2,a2_0,5241.0,45.0,54.0,5286.0
p78,3,a1_0,4266.0,15.0,18.0,4281.0
p78,4,a3_0,5295.0,18.0,15.0,5313.0
p79,1,a1_0,4281.0,18.0,18.0,4299.0
p79,2,a4_0,3276.0,45.0,45.0,3321.0
p79,3,a3_0,4299.0,18.0,18.0,4317.0
p79,4,a2_0,5295.0,30.0,36.0,5325.0
p79,5,a4_0,5331.0,18.0,15.0,5349.0
p80,1,a1_0,4299.0,36.0,36.0,4335.0
p80,2,a2_0,5331.0,54.0,54.0,5385.0
p80,3,a1_0,4335.0,18.0,18.0,4353.0
p80,4,a3_0,5385.0,18.0,15.0,5403.0
p81,1,a1_0,4368.0,36.0,36.0,4404.0
p81,2,a2_0,5385.0,45.0,54.0,5430.0
p81,3,a1_0,4404.0,15.0,18.0,4419.0
p81,4,a3_0,5439.0,15.0,18.0,5454.0
p82,1,a1_0,4419.0,30.0,36.0,4449.0
p82,2,a2_0,5439.0,45.0,54.0,5484.0
p82,3,a1_0,4449.0,15.0,18.0,4464.0
p82,4,a3_0,5493.0,15.0,18.0,5508.0
p83,1,a1_0,4464.0,15.0,18.0,4479.0
p83,2,a4_0,3366.0,45.0,54.0,3411.0
p83,3,a3_0,4512.0,15.0,18.0,4527.0
p83,4,a2_0,5493.0,30.0,36.0,5523.0
p83,5,a4_0,5529.0,15.0,15.0,5544.0
p84,1,a1_0,4479.0,36.0,30.0,4515.0
p84,2,a2_0,5565.0,45.0,54.0,5610.0
p84,3,a1_0,4515.0,18.0,18.0,4533.0
p84,4,a3_0,5619.0,15.0,15.0,5634.0
p85,1,a1_0,4533.0,15.0,15.0,4548.0
p85,2,a4_0,3420.0,54.0,54.0,3474.0
p85,3,a3_0,4563.0,15.0,18.0,4578.0
p85,4,a2_0,5619.0,36.0,30.0,5655.0
p85,5,a4_0,5655.0,18.0,15.0,5673.0
p86,1,a1_0,4548.0,18.0,15.0,4566.0
p86,2,a4_0,3474.0,54.0,45.0,3528.0
p86,3,a3_0,4578.0,15.0,18.0,4593.0
p86,4,a2_0,5655.0,36.0,30.0,5691.0
p86,5,a4_0,5691.0,15.0,18.0,5706.0
p87,1,a1_0,4566.0,30.0,30.0,4596.0
p87,2,a2_0,5691.0,45.0,54.0,5736.0
p87,3,a1_0,4596.0,15.0,18.0,4611.0
p87,4,a3_0,5736.0,18.0,18.0,5754.0
p88,1,a1_0,4611.0,36.0,30.0,4647.0
p88,2,a2_0,5736.0,45.0,45.0,5781.0
p88,3,a1_0,4647.0,18.0,15.0,4665.0
p88,4,a3_0,5781.0,15.0,18.0,5796.0
p89,1,a1_0,4665.0,15.0,18.0,4680.0
p89,2,a4_0,3528.0,45.0,45.0,3573.0
p89,3,a3_0,4680.0,15.0,15.0,4695.0
p89,4,a2_0,5781.0,36.0,30.0,5817.0
p89,5,a4_0,5817.0,15.0,15.0,5832.0
p90,1,a1_0,4680.0,15.0,15.0,4695.0
p90,2,a4_0,3573.0,45.0,45.0,3618.0
p90,3,a3_0,4695.0,15.0,18.0,4710.0
p90,4,a2_0,5817.0,30.0,30.0,5847.0
p90,5,a4_0,5847.0,15.0,15.0,5862.0
p91,1,a1_0,4713.0,30.0,36.0,4743.0
p91,2,a2_0,5847.0,54.0,54.0,5901.0
p91,3,a1_0,4743.0,18.0,18.0,4761.0
p91,4,a3_0,5901.0,15.0,18.0,5916.0
p92,1,a1_0,4761.0,30.0,36.0,4791.0
p92,2,a2_0,5901.0,45.0,45.0,5946.0
p92,3,a1_0,4791.0,15.0,18.0,4806.0
p92,4,a3_0,5946.0,15.0,18.0,5961.0
p93,1,a1_0,4806.0,30.0,30.0,4836.0
p93,2,a2_0,5946.0,45.0,54.0,5991.0
p93,3,a1_0,4836.0,15.0,18.0,4851.0
p93,4,a3_0,5991.0,18.0,15.0,6009.0
p94,1,a1_0,4851.0,18.0,18.0,4869.0
p94,2,a4_0,3663.0,45.0,45.0,3708.0
p94,3,a3_0,4905.0,15.0,18.0,4920.0
p94,4,a2_0,6027.0,30.0,36.0,6057.0
p94,5,a4_0,6063.0,18.0,18.0,6081.0
p95,1,a1_0,4869.0,18.0,18.0,4887.0
p95,2,a4_0,3708.0,45.0,54.0,3753.0
p95,3,a3_0,4920.0,15.0,18.0,4935.0
p95,4,a2_0,6063.0,30.0,30.0,6093.0
p95,5,a4_0,6093.0,18.0,15.0,6111.0
p96,1,a1_0,4887.0,36.0,30.0,4923.0
p96,2,a2_0,6093.0,45.0,45.0,6138.0
p96,3,a1_0,4923.0,18.0,15.0,4941.0
p96,4,a3_0,6138.0,18.0,18.0,6156.0
p97,1,a1_0,4941.0,30.0,30.0,4971.0
p97,2,a2_0,6138.0,45.0,54.0,6183.0
p97,3,a1_0,4971.0,18.0,18.0,4989.0
p97,4,a3_0,6192.0,18.0,15.0,6210.0
p98,1,a1_0,4989.0,36.0,36.0,5025.0
p98,2,a2_0,6192.0,45.0,54.0,6237.0
p98,3,a1_0,5025.0,15.0,18.0,5040.0
p98,4,a3_0,6246.0,15.0,15.0,6261.0
p99,1,a1_0,5040.0,18.0,15.0,5058.0
p99,2,a4_0,3753.0,45.0,54.0,3798.0
p99,3,a3_0,5061.0,15.0,15.0,5076.0
p99,4,a2_0,6246.0,30.0,36.0,6276.0
p99,5,a4_0,6282.0,15.0,18.0,6297.0
p100,1,a1_0,0.0,15.0,18.0,15.0
p100,2,a4_0,0.0,54.0,54.0,54.0
p100,3,a3_0,54.0,18.0,18.0,72.0
p100,4,a2_0,0.0,36.0,36.0,36.0
p100,5,a4_0,3807.0,18.0,18.0,3825.0
p101,1,a1_0,54.0,15.0,18.0,69.0
p101,2,a4_0,54.0,45.0,54.0,99.0
p101,3,a3_0,108.0,18.0,18.0,126.0
p101,4,a2_0,36.0,36.0,30.0,72.0
p101,5,a4_0,3825.0,18.0,18.0,3843.0
p102,1,a1_0,72.0,18.0,18.0,90.0
p102,2,a4_0,108.0,45.0,54.0,153.0
p102,3,a3_0,162.0,18.0,15.0,180.0
p102,4,a2_0,126.0,30.0,30.0,156.0
p102,5,a4_0,3843.0,18.0,18.0,3861.0
p103,1,a1_0,108.0,36.0,30.0,144.0
p103,2,a2_0,156.0,54.0,45.0,210.0
p103,3,a1_0,144.0,18.0,18.0,162.0
p103,4,a3_0,222.0,18.0,15.0,240.0
p104,1,a1_0,162.0,18.0,18.0,180.0
p104,2,a4_0,162.0,45.0,45.0,207.0
p104,3,a3_0,207.0,15.0,18.0,222.0
p104,4,a2_0,210.0,30.0,30.0,240.0
p104,5,a4_0,3861.0,15.0,18.0,3876.0
p105,1,a1_0,180.0,18.0,18.0,198.0
p105,2,a4_0,207.0,54.0,54.0,261.0
p105,3,a3_0,261.0,18.0,15.0,279.0
p105,4,a2_0,240.0,30.0,36.0,270.0
p105,5,a4_0,3879.0,15.0,15.0,3894.0
p106,1,a1_0,198.0,18.0,15.0,216.0
p106,2,a4_0,261.0,45.0,54.0,306.0
p106,3,a3_0,315.0,18.0,18.0,333.0
p106,4,a2_0,270.0,36.0,36.0,306.0
p106,5,a4_0,3894.0,18.0,18.0,3912.0
p107,1,a1_0,216.0,36.0,36.0,252.0
p107,2,a2_0,306.0,45.0,54.0,351.0
p107,3,a1_0,252.0,18.0,15.0,270.0
p107,4,a3_0,351.0,18.0,18.0,369.0
p108,1,a1_0,270.0,15.0,18.0,285.0
p108,2,a4_0,315.0,45.0,54.0,360.0
p108,3,a3_0,369.0,15.0,15.0,384.0
p108,4,a2_0,351.0,30.0,36.0,381.0
p108,5,a4_0,3912.0,15.0,18.0,3927.0
p109,1,a1_0,285.0,30.0,36.0,315.0
p109,2,a2_0,381.0,54.0,45.0,435.0
p109,3,a1_0,315.0,18.0,18.0,333.0
p109,4,a3_0,435.0,18.0,18.0,453.0
p110,1,a1_0,333.0,30.0,30.0,363.0
p110,2,a2_0,435.0,45.0,54.0,480.0
p110,3,a1_0,363.0,15.0,18.0,378.0
p110,4,a3_0,480.0,18.0,18.0,498.0
p111,1,a1_0,408.0,30.0,36.0,438.0
p111,2,a2_0,480.0,45.0,54.0,525.0
p111,3,a1_0,441.0,18.0,18.0,459.0
p111,4,a3_0,531.0,15.0,18.0,546.0
p112,1,a1_0,459.0,15.0,18.0,474.0
p112,2,a4_0,369.0,54.0,54.0,423.0
p112,3,a3_0,498.0,18.0,18.0,516.0
p112,4,a2_0,576.0,36.0,36.0,612.0
p112,5,a4_0,3930.0,15.0,18.0,3945.0
p113,1,a1_0,495.0,18.0,18.0,513.0
p113,2,a4_0,423.0,54.0,54.0,477.0
p113,3,a3_0,549.0,18.0,15.0,567.0
p113,4,a2_0,612.0,36.0,30.0,648.0
p113,5,a4_0,3948.0,18.0,18.0,3966.0
p114,1,a1_0,513.0,36.0,36.0,549.0
p114,2,a2_0,648.0,45.0,45.0,693.0
